,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average,PPL
Biased,61.1,51.3,36.2,16.2,53.6,18.1,39.4,17.5
Debiased (λ=50),34.7 (-43),23.6 (-54),20.4 (-44),7.8 (-52),29.2 (-46),9.3 (-49),20.8 (-47),19.2 (+9)
GPT2-XL-FT-1K,42.0 (-31),31.7 (-38),25.0 (-31),11.1 (-31),36.7 (-32),10.8 (-40),26.2 (-34),17.3 (-1)
GPT2-XL-FT-5K,34.5 (-44),26.2 (-49),22.8 (-37),11.3 (-30),28.5 (-47),8.6 (-52),22.0 (-44),28.3 (+61)
GPT2-XL-FT-10K,33.0 (-46),22.7 (-56),21.9 (-40),9.4 (-42),26.7 (-50),9.0 (-50),20.4 (-48),27.8 (+59)
GPT2-XL-FT-25K,30.1 (-51),18.6 (-64),18.1 (-50),11.7 (-28),21.5 (-60),8.6 (-52),18.1 (-54),138.4 (+690)
